"unit","request","leg_prov","partner","geo","time","values","iso2"
"Number","Requests","Total requests","Greece","Austria",2014-01-01,52,"AT"
"Number","Requests","Total requests","Greece","Belgium",2014-01-01,16,"BE"
"Number","Requests","Total requests","Greece","Bulgaria",2014-01-01,149,"BG"
"Number","Requests","Total requests","Greece","Switzerland",2014-01-01,110,"CH"
"Number","Requests","Total requests","Greece","Cyprus",2014-01-01,NA,"CY"
"Number","Requests","Total requests","Greece","Czech Republic",2014-01-01,NA,"CZ"
"Number","Requests","Total requests","Greece","Germany (until 1990 former territory of the FRG)",2014-01-01,459,"DE"
"Number","Requests","Total requests","Greece","Denmark",2014-01-01,45,"DK"
"Number","Requests","Total requests","Greece","Estonia",2014-01-01,0,"EE"
"Number","Requests","Total requests","Greece","Greece",2014-01-01,0,"EL"
"Number","Requests","Total requests","Greece","Spain",2014-01-01,NA,"ES"
"Number","Requests","Total requests","Greece","Finland",2014-01-01,8,"FI"
"Number","Requests","Total requests","Greece","France",2014-01-01,19,"FR"
"Number","Requests","Total requests","Greece","Croatia",2014-01-01,1,"HR"
"Number","Requests","Total requests","Greece","Hungary",2014-01-01,20,"HU"
"Number","Requests","Total requests","Greece","Ireland",2014-01-01,3,"IE"
"Number","Requests","Total requests","Greece","Iceland",2014-01-01,NA,"IS"
"Number","Requests","Total requests","Greece","Italy",2014-01-01,NA,"IT"
"Number","Requests","Total requests","Greece","Liechtenstein",2014-01-01,0,"LI"
"Number","Requests","Total requests","Greece","Lithuania",2014-01-01,NA,"LT"
"Number","Requests","Total requests","Greece","Luxembourg",2014-01-01,4,"LU"
"Number","Requests","Total requests","Greece","Latvia",2014-01-01,0,"LV"
"Number","Requests","Total requests","Greece","Malta",2014-01-01,0,"MT"
"Number","Requests","Total requests","Greece","Netherlands",2014-01-01,NA,"NL"
"Number","Requests","Total requests","Greece","Norway",2014-01-01,37,"NO"
"Number","Requests","Total requests","Greece","Poland",2014-01-01,NA,"PL"
"Number","Requests","Total requests","Greece","Portugal",2014-01-01,0,"PT"
"Number","Requests","Total requests","Greece","Romania",2014-01-01,7,"RO"
"Number","Requests","Total requests","Greece","Sweden",2014-01-01,150,"SE"
"Number","Requests","Total requests","Greece","Slovenia",2014-01-01,0,"SI"
"Number","Requests","Total requests","Greece","Slovakia",2014-01-01,1,"SK"
"Number","Requests","Total requests","Greece","United Kingdom",2014-01-01,22,"UK"
"Number","Requests","Total requests","Spain","Austria",2014-01-01,3,"AT"
"Number","Requests","Total requests","Spain","Belgium",2014-01-01,3,"BE"
"Number","Requests","Total requests","Spain","Bulgaria",2014-01-01,0,"BG"
"Number","Requests","Total requests","Spain","Switzerland",2014-01-01,7,"CH"
"Number","Requests","Total requests","Spain","Cyprus",2014-01-01,NA,"CY"
"Number","Requests","Total requests","Spain","Czech Republic",2014-01-01,NA,"CZ"
"Number","Requests","Total requests","Spain","Germany (until 1990 former territory of the FRG)",2014-01-01,10,"DE"
"Number","Requests","Total requests","Spain","Denmark",2014-01-01,1,"DK"
"Number","Requests","Total requests","Spain","Estonia",2014-01-01,0,"EE"
"Number","Requests","Total requests","Spain","Greece",2014-01-01,0,"EL"
"Number","Requests","Total requests","Spain","Spain",2014-01-01,NA,"ES"
"Number","Requests","Total requests","Spain","Finland",2014-01-01,2,"FI"
"Number","Requests","Total requests","Spain","France",2014-01-01,11,"FR"
"Number","Requests","Total requests","Spain","Croatia",2014-01-01,0,"HR"
"Number","Requests","Total requests","Spain","Hungary",2014-01-01,13,"HU"
"Number","Requests","Total requests","Spain","Ireland",2014-01-01,1,"IE"
"Number","Requests","Total requests","Spain","Iceland",2014-01-01,NA,"IS"
"Number","Requests","Total requests","Spain","Italy",2014-01-01,NA,"IT"
"Number","Requests","Total requests","Spain","Liechtenstein",2014-01-01,0,"LI"
"Number","Requests","Total requests","Spain","Lithuania",2014-01-01,NA,"LT"
"Number","Requests","Total requests","Spain","Luxembourg",2014-01-01,0,"LU"
"Number","Requests","Total requests","Spain","Latvia",2014-01-01,0,"LV"
"Number","Requests","Total requests","Spain","Malta",2014-01-01,1,"MT"
"Number","Requests","Total requests","Spain","Netherlands",2014-01-01,NA,"NL"
"Number","Requests","Total requests","Spain","Norway",2014-01-01,6,"NO"
"Number","Requests","Total requests","Spain","Poland",2014-01-01,NA,"PL"
"Number","Requests","Total requests","Spain","Portugal",2014-01-01,2,"PT"
"Number","Requests","Total requests","Spain","Romania",2014-01-01,0,"RO"
"Number","Requests","Total requests","Spain","Sweden",2014-01-01,3,"SE"
"Number","Requests","Total requests","Spain","Slovenia",2014-01-01,2,"SI"
"Number","Requests","Total requests","Spain","Slovakia",2014-01-01,9,"SK"
"Number","Requests","Total requests","Spain","United Kingdom",2014-01-01,4,"UK"
