"partner","geo","values","iso2","time","type"
"Czech Republic","Slovakia",6,"SK",2014-01-01,"incoming"
"Czech Republic","United Kingdom",0,"UK",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Austria",NA,"AT",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Belgium",1006,"BE",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Bulgaria",13,"BG",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Switzerland",317,"CH",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Cyprus",NA,"CY",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Czech Republic",NA,"CZ",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Germany (until 1990 former territory of the FRG)",0,"DE",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Denmark",45,"DK",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Estonia",2,"EE",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Greece",0,"EL",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Spain",NA,"ES",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Finland",NA,"FI",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","France",550,"FR",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Croatia",7,"HR",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Hungary",173,"HU",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Ireland",1,"IE",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Iceland",NA,"IS",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Italy",NA,"IT",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Liechtenstein",0,"LI",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Lithuania",14,"LT",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Luxembourg",15,"LU",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Latvia",4,"LV",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Malta",41,"MT",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Netherlands",NA,"NL",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Norway",NA,"NO",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Poland",NA,"PL",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Portugal",NA,"PT",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Romania",2,"RO",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Sweden",0,"SE",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Slovenia",5,"SI",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","Slovakia",20,"SK",2014-01-01,"incoming"
"Germany (until 1990 former territory of the FRG)","United Kingdom",6,"UK",2014-01-01,"incoming"
"Denmark","Austria",NA,"AT",2014-01-01,"incoming"
"Denmark","Belgium",40,"BE",2014-01-01,"incoming"
"Denmark","Bulgaria",5,"BG",2014-01-01,"incoming"
"Denmark","Switzerland",32,"CH",2014-01-01,"incoming"
"Denmark","Cyprus",NA,"CY",2014-01-01,"incoming"
"Denmark","Czech Republic",NA,"CZ",2014-01-01,"incoming"
"Denmark","Germany (until 1990 former territory of the FRG)",128,"DE",2014-01-01,"incoming"
"Denmark","Denmark",0,"DK",2014-01-01,"incoming"
"Denmark","Estonia",3,"EE",2014-01-01,"incoming"
"Denmark","Greece",0,"EL",2014-01-01,"incoming"
"Denmark","Spain",NA,"ES",2014-01-01,"incoming"
"Denmark","Finland",NA,"FI",2014-01-01,"incoming"
"Denmark","France",52,"FR",2014-01-01,"incoming"
"Denmark","Croatia",0,"HR",2014-01-01,"incoming"
"Denmark","Hungary",10,"HU",2014-01-01,"incoming"
"Denmark","Ireland",2,"IE",2014-01-01,"incoming"
"Denmark","Iceland",NA,"IS",2014-01-01,"incoming"
"Denmark","Italy",NA,"IT",2014-01-01,"incoming"
"Denmark","Liechtenstein",0,"LI",2014-01-01,"incoming"
"Denmark","Lithuania",1,"LT",2014-01-01,"incoming"
"Denmark","Luxembourg",2,"LU",2014-01-01,"incoming"
"Denmark","Latvia",2,"LV",2014-01-01,"incoming"
"Denmark","Malta",16,"MT",2014-01-01,"incoming"
"Denmark","Netherlands",NA,"NL",2014-01-01,"incoming"
"Denmark","Norway",NA,"NO",2014-01-01,"incoming"
"Denmark","Poland",NA,"PL",2014-01-01,"incoming"
"Denmark","Portugal",NA,"PT",2014-01-01,"incoming"
"Denmark","Romania",1,"RO",2014-01-01,"incoming"
"Denmark","Sweden",0,"SE",2014-01-01,"incoming"
"Denmark","Slovenia",1,"SI",2014-01-01,"incoming"
"Denmark","Slovakia",2,"SK",2014-01-01,"incoming"
"Denmark","United Kingdom",3,"UK",2014-01-01,"incoming"
"Estonia","Austria",NA,"AT",2014-01-01,"incoming"
"Estonia","Belgium",0,"BE",2014-01-01,"incoming"
"Estonia","Bulgaria",0,"BG",2014-01-01,"incoming"
"Estonia","Switzerland",0,"CH",2014-01-01,"incoming"
"Estonia","Cyprus",NA,"CY",2014-01-01,"incoming"
"Estonia","Czech Republic",NA,"CZ",2014-01-01,"incoming"
"Estonia","Germany (until 1990 former territory of the FRG)",0,"DE",2014-01-01,"incoming"
"Estonia","Denmark",0,"DK",2014-01-01,"incoming"
"Estonia","Estonia",0,"EE",2014-01-01,"incoming"
"Estonia","Greece",0,"EL",2014-01-01,"incoming"
"Estonia","Spain",NA,"ES",2014-01-01,"incoming"
"Estonia","Finland",NA,"FI",2014-01-01,"incoming"
"Estonia","France",0,"FR",2014-01-01,"incoming"
"Estonia","Croatia",0,"HR",2014-01-01,"incoming"
"Estonia","Hungary",0,"HU",2014-01-01,"incoming"
"Estonia","Ireland",0,"IE",2014-01-01,"incoming"
"Estonia","Iceland",NA,"IS",2014-01-01,"incoming"
"Estonia","Italy",NA,"IT",2014-01-01,"incoming"
"Estonia","Liechtenstein",0,"LI",2014-01-01,"incoming"
"Estonia","Lithuania",1,"LT",2014-01-01,"incoming"
"Estonia","Luxembourg",0,"LU",2014-01-01,"incoming"
"Estonia","Latvia",3,"LV",2014-01-01,"incoming"
"Estonia","Malta",3,"MT",2014-01-01,"incoming"
"Estonia","Netherlands",NA,"NL",2014-01-01,"incoming"
"Estonia","Norway",NA,"NO",2014-01-01,"incoming"
