"partner","geo","values","iso2","type"
"Germany (until 1990 former territory of the FRG)","Spain",NA,"ES","incoming"
"Germany (until 1990 former territory of the FRG)","Finland",NA,"FI","incoming"
"Germany (until 1990 former territory of the FRG)","France",550,"FR","incoming"
"Germany (until 1990 former territory of the FRG)","Croatia",7,"HR","incoming"
"Germany (until 1990 former territory of the FRG)","Hungary",173,"HU","incoming"
"Germany (until 1990 former territory of the FRG)","Ireland",1,"IE","incoming"
"Germany (until 1990 former territory of the FRG)","Iceland",NA,"IS","incoming"
"Germany (until 1990 former territory of the FRG)","Italy",NA,"IT","incoming"
"Germany (until 1990 former territory of the FRG)","Liechtenstein",0,"LI","incoming"
"Germany (until 1990 former territory of the FRG)","Lithuania",14,"LT","incoming"
"Germany (until 1990 former territory of the FRG)","Luxembourg",15,"LU","incoming"
"Germany (until 1990 former territory of the FRG)","Latvia",4,"LV","incoming"
"Germany (until 1990 former territory of the FRG)","Malta",41,"MT","incoming"
"Germany (until 1990 former territory of the FRG)","Netherlands",NA,"NL","incoming"
"Germany (until 1990 former territory of the FRG)","Norway",NA,"NO","incoming"
"Germany (until 1990 former territory of the FRG)","Poland",NA,"PL","incoming"
"Germany (until 1990 former territory of the FRG)","Portugal",NA,"PT","incoming"
"Germany (until 1990 former territory of the FRG)","Romania",2,"RO","incoming"
"Germany (until 1990 former territory of the FRG)","Sweden",0,"SE","incoming"
"Germany (until 1990 former territory of the FRG)","Slovenia",5,"SI","incoming"
"Germany (until 1990 former territory of the FRG)","Slovakia",20,"SK","incoming"
"Germany (until 1990 former territory of the FRG)","United Kingdom",6,"UK","incoming"
"Denmark","Austria",NA,"AT","incoming"
"Denmark","Belgium",40,"BE","incoming"
"Denmark","Bulgaria",5,"BG","incoming"
"Denmark","Switzerland",32,"CH","incoming"
"Denmark","Cyprus",NA,"CY","incoming"
"Denmark","Czech Republic",NA,"CZ","incoming"
"Denmark","Germany (until 1990 former territory of the FRG)",128,"DE","incoming"
"Denmark","Denmark",0,"DK","incoming"
"Denmark","Estonia",3,"EE","incoming"
"Denmark","Greece",0,"EL","incoming"
"Denmark","Spain",NA,"ES","incoming"
"Denmark","Finland",NA,"FI","incoming"
"Denmark","France",52,"FR","incoming"
"Denmark","Croatia",0,"HR","incoming"
"Denmark","Hungary",10,"HU","incoming"
"Denmark","Ireland",2,"IE","incoming"
"Denmark","Iceland",NA,"IS","incoming"
"Denmark","Italy",NA,"IT","incoming"
"Denmark","Liechtenstein",0,"LI","incoming"
"Denmark","Lithuania",1,"LT","incoming"
"Denmark","Luxembourg",2,"LU","incoming"
"Denmark","Latvia",2,"LV","incoming"
"Denmark","Malta",16,"MT","incoming"
"Denmark","Netherlands",NA,"NL","incoming"
"Denmark","Norway",NA,"NO","incoming"
"Denmark","Poland",NA,"PL","incoming"
"Denmark","Portugal",NA,"PT","incoming"
"Denmark","Romania",1,"RO","incoming"
"Denmark","Sweden",0,"SE","incoming"
"Denmark","Slovenia",1,"SI","incoming"
"Denmark","Slovakia",2,"SK","incoming"
"Denmark","United Kingdom",3,"UK","incoming"
"Estonia","Austria",NA,"AT","incoming"
"Estonia","Belgium",0,"BE","incoming"
"Estonia","Bulgaria",0,"BG","incoming"
"Estonia","Switzerland",0,"CH","incoming"
"Estonia","Cyprus",NA,"CY","incoming"
"Estonia","Czech Republic",NA,"CZ","incoming"
"Estonia","Germany (until 1990 former territory of the FRG)",0,"DE","incoming"
"Estonia","Denmark",0,"DK","incoming"
"Estonia","Estonia",0,"EE","incoming"
"Estonia","Greece",0,"EL","incoming"
"Estonia","Spain",NA,"ES","incoming"
"Estonia","Finland",NA,"FI","incoming"
"Estonia","France",0,"FR","incoming"
"Estonia","Croatia",0,"HR","incoming"
"Estonia","Hungary",0,"HU","incoming"
"Estonia","Ireland",0,"IE","incoming"
"Estonia","Iceland",NA,"IS","incoming"
"Estonia","Italy",NA,"IT","incoming"
"Estonia","Liechtenstein",0,"LI","incoming"
"Estonia","Lithuania",1,"LT","incoming"
"Estonia","Luxembourg",0,"LU","incoming"
"Estonia","Latvia",3,"LV","incoming"
"Estonia","Malta",3,"MT","incoming"
"Estonia","Netherlands",NA,"NL","incoming"
"Estonia","Norway",NA,"NO","incoming"
"Estonia","Poland",NA,"PL","incoming"
"Estonia","Portugal",NA,"PT","incoming"
"Estonia","Romania",0,"RO","incoming"
"Estonia","Sweden",0,"SE","incoming"
"Estonia","Slovenia",0,"SI","incoming"
"Estonia","Slovakia",0,"SK","incoming"
"Estonia","United Kingdom",0,"UK","incoming"
"Greece","Austria",NA,"AT","incoming"
"Greece","Belgium",14,"BE","incoming"
"Greece","Bulgaria",1,"BG","incoming"
"Greece","Switzerland",65,"CH","incoming"
"Greece","Cyprus",NA,"CY","incoming"
"Greece","Czech Republic",NA,"CZ","incoming"
"Greece","Germany (until 1990 former territory of the FRG)",282,"DE","incoming"
"Greece","Denmark",5,"DK","incoming"
"Greece","Estonia",0,"EE","incoming"
"Greece","Greece",0,"EL","incoming"
"Greece","Spain",NA,"ES","incoming"
"Greece","Finland",NA,"FI","incoming"
"Greece","France",9,"FR","incoming"
"Greece","Croatia",0,"HR","incoming"
"Greece","Hungary",2,"HU","incoming"
"Greece","Ireland",0,"IE","incoming"
"Greece","Iceland",NA,"IS","incoming"
"Greece","Italy",NA,"IT","incoming"
"Greece","Liechtenstein",0,"LI","incoming"
"Greece","Lithuania",0,"LT","incoming"
"Greece","Luxembourg",0,"LU","incoming"
"Greece","Latvia",0,"LV","incoming"
"Greece","Malta",0,"MT","incoming"
"Greece","Netherlands",NA,"NL","incoming"
"Greece","Norway",NA,"NO","incoming"
"Greece","Poland",NA,"PL","incoming"
"Greece","Portugal",NA,"PT","incoming"
"Greece","Romania",0,"RO","incoming"
"Greece","Sweden",0,"SE","incoming"
"Greece","Slovenia",0,"SI","incoming"
"Greece","Slovakia",0,"SK","incoming"
"Greece","United Kingdom",1,"UK","incoming"
"Spain","Austria",NA,"AT","incoming"
"Spain","Belgium",1,"BE","incoming"
"Spain","Bulgaria",0,"BG","incoming"
"Spain","Switzerland",2,"CH","incoming"
"Spain","Cyprus",NA,"CY","incoming"
"Spain","Czech Republic",NA,"CZ","incoming"
"Spain","Germany (until 1990 former territory of the FRG)",2,"DE","incoming"
"Spain","Denmark",0,"DK","incoming"
"Spain","Estonia",0,"EE","incoming"
"Spain","Greece",0,"EL","incoming"
"Spain","Spain",NA,"ES","incoming"
"Spain","Finland",NA,"FI","incoming"
"Spain","France",3,"FR","incoming"
"Spain","Croatia",0,"HR","incoming"
"Spain","Hungary",0,"HU","incoming"
"Spain","Ireland",1,"IE","incoming"
"Spain","Iceland",NA,"IS","incoming"
"Spain","Italy",NA,"IT","incoming"
"Spain","Liechtenstein",0,"LI","incoming"
"Spain","Lithuania",0,"LT","incoming"
"Spain","Luxembourg",0,"LU","incoming"
"Spain","Latvia",0,"LV","incoming"
"Spain","Malta",0,"MT","incoming"
"Spain","Netherlands",NA,"NL","incoming"
"Spain","Norway",NA,"NO","incoming"
"Spain","Poland",NA,"PL","incoming"
"Spain","Portugal",NA,"PT","incoming"
"Spain","Romania",0,"RO","incoming"
"Spain","Sweden",0,"SE","incoming"
"Spain","Slovenia",1,"SI","incoming"
"Spain","Slovakia",0,"SK","incoming"
"Spain","United Kingdom",0,"UK","incoming"
"Finland","Austria",NA,"AT","incoming"
"Finland","Belgium",23,"BE","incoming"
"Finland","Bulgaria",1,"BG","incoming"
"Finland","Switzerland",19,"CH","incoming"
"Finland","Cyprus",NA,"CY","incoming"
"Finland","Czech Republic",NA,"CZ","incoming"
"Finland","Germany (until 1990 former territory of the FRG)",48,"DE","incoming"
"Finland","Denmark",17,"DK","incoming"
"Finland","Estonia",20,"EE","incoming"
"Finland","Greece",0,"EL","incoming"
